AREA,PAIS,CONTINENTE,SUB_REGIAO,ISO
9388211,CHINA,ASIA,EASTERN ASIA,CHN
2973190,INDIA,ASIA,SOUTHERN ASIA,IND
9147420,UNITED STATES,AMERICA DO NORTE,NORTHERN AMERICA,USA
1811570,INDONESIA,ASIA,SOUTH-EASTERN ASIA,IDN
770880,PAKISTAN,ASIA,SOUTHERN ASIA,PAK
8358140,BRAZIL,AMERICA LATINA,SOUTH AMERICA,BRA
910770,NIGERIA,AFRICA,WESTERN AFRICA,NGA
130170,BANGLADESH,ASIA,SOUTHERN ASIA,BGD
16376870,RUSSIA,EUROPA,EASTERN EUROPE,RUS
1943950,MEXICO,AMERICA LATINA,CENTRAL AMERICA,MEX
364555,JAPAN,ASIA,EASTERN ASIA,JPN
1000000,ETHIOPIA,AFRICA,EASTERN AFRICA,ETH
298170,PHILIPPINES,ASIA,SOUTH-EASTERN ASIA,PHL
995450,EGYPT,AFRICA,NORTHERN AFRICA,EGY
310070,VIETNAM,ASIA,SOUTH-EASTERN ASIA,VNM
2267050,DR CONGO,AFRICA,MIDDLE AFRICA,COD
769630,TURKEY,ASIA,WESTERN ASIA,TUR
1628550,IRAN,ASIA,SOUTHERN ASIA,IRN
348560,GERMANY,EUROPA,WESTERN EUROPE,DEU
510890,THAILAND,ASIA,SOUTH-EASTERN ASIA,THA
241930,UNITED KINGDOM,EUROPA,NORTHERN EUROPE,GBR
547557,FRANCE,EUROPA,WESTERN EUROPE,FRA
294140,ITALY,EUROPA,SOUTHERN EUROPE,ITA
885800,TANZANIA,AFRICA,EASTERN AFRICA,TZA
1213090,SOUTH AFRICA,AFRICA,SOUTHERN AFRICA,ZAF
653290,MYANMAR,ASIA,SOUTH-EASTERN ASIA,MMR
569140,KENYA,AFRICA,EASTERN AFRICA,KEN
97230,SOUTH KOREA,ASIA,EASTERN ASIA,KOR
1109500,COLOMBIA,AMERICA LATINA,SOUTH AMERICA,COL
498800,SPAIN,EUROPA,SOUTHERN EUROPE,ESP
199810,UGANDA,AFRICA,EASTERN AFRICA,UGA
2736690,ARGENTINA,AMERICA LATINA,SOUTH AMERICA,ARG
2381740,ALGERIA,AFRICA,NORTHERN AFRICA,DZA
1765048,SUDAN,AFRICA,NORTHERN AFRICA,SDN
579320,UKRAINE,EUROPA,EASTERN EUROPE,UKR
434320,IRAQ,ASIA,WESTERN ASIA,IRQ
652860,AFGHANISTAN,ASIA,SOUTHERN ASIA,AFG
306230,POLAND,EUROPA,EASTERN EUROPE,POL
9093510,CANADA,AMERICA DO NORTE,NORTHERN AMERICA,CAN
446300,MOROCCO,AFRICA,NORTHERN AFRICA,MAR
2149690,SAUDI ARABIA,ASIA,WESTERN ASIA,SAU
425400,UZBEKISTAN,ASIA,CENTRAL ASIA,UZB
1280000,PERU,AMERICA LATINA,SOUTH AMERICA,PER
1246700,ANGOLA,AFRICA,MIDDLE AFRICA,AGO
328550,MALAYSIA,ASIA,SOUTH-EASTERN ASIA,MYS
786380,MOZAMBIQUE,AFRICA,EASTERN AFRICA,MOZ
227540,GHANA,AFRICA,WESTERN AFRICA,GHA
527970,YEMEN,ASIA,WESTERN ASIA,YEM
143350,NEPAL,ASIA,SOUTHERN ASIA,NPL
882050,VENEZUELA,AMERICA LATINA,SOUTH AMERICA,VEN
581795,MADAGASCAR,AFRICA,EASTERN AFRICA,MDG
472710,CAMEROON,AFRICA,MIDDLE AFRICA,CMR
318000,CÔTE D'IVOIRE,AFRICA,WESTERN AFRICA,CIV
120410,NORTH KOREA,ASIA,EASTERN ASIA,PRK
7682300,AUSTRALIA,OCEANIA,AUSTRALIA AND NEW ZEALAND,AUS
1266700,NIGER,AFRICA,WESTERN AFRICA,NER
62710,SRI LANKA,ASIA,SOUTHERN ASIA,LKA
273600,BURKINA FASO,AFRICA,WESTERN AFRICA,BFA
1220190,MALI,AFRICA,WESTERN AFRICA,MLI
230170,ROMANIA,EUROPA,EASTERN EUROPE,ROU
94280,MALAWI,AFRICA,EASTERN AFRICA,MWI
743532,CHILE,AMERICA LATINA,SOUTH AMERICA,CHL
2699700,KAZAKHSTAN,ASIA,CENTRAL ASIA,KAZ
743390,ZAMBIA,AFRICA,EASTERN AFRICA,ZMB
107160,GUATEMALA,AMERICA LATINA,CENTRAL AMERICA,GTM
248360,ECUADOR,AMERICA LATINA,SOUTH AMERICA,ECU
183630,SYRIA,ASIA,WESTERN ASIA,SYR
33720,NETHERLANDS,EUROPA,WESTERN EUROPE,NLD
192530,SENEGAL,AFRICA,WESTERN AFRICA,SEN
176520,CAMBODIA,ASIA,SOUTH-EASTERN ASIA,KHM
1259200,CHAD,AFRICA,MIDDLE AFRICA,TCD
627340,SOMALIA,AFRICA,EASTERN AFRICA,SOM
386850,ZIMBABWE,AFRICA,EASTERN AFRICA,ZWE
245720,GUINEA,AFRICA,WESTERN AFRICA,GIN
24670,RWANDA,AFRICA,EASTERN AFRICA,RWA
112760,BENIN,AFRICA,WESTERN AFRICA,BEN
25680,BURUNDI,AFRICA,EASTERN AFRICA,BDI
155360,TUNISIA,AFRICA,NORTHERN AFRICA,TUN
1083300,BOLIVIA,AMERICA LATINA,SOUTH AMERICA,BOL
30280,BELGIUM,EUROPA,WESTERN EUROPE,BEL
27560,HAITI,AMERICA LATINA,CARIBBEAN,HTI
106440,CUBA,AMERICA LATINA,CARIBBEAN,CUB
610952,SOUTH SUDAN,AFRICA,EASTERN AFRICA,SSD
48320,DOMINICAN REPUBLIC,AMERICA LATINA,CARIBBEAN,DOM
77240,CZECH REPUBLIC (CZECHIA),EUROPA,EASTERN EUROPE,CZE
128900,GREECE,EUROPA,SOUTHERN EUROPE,GRC
88780,JORDAN,ASIA,WESTERN ASIA,JOR
91590,PORTUGAL,EUROPA,SOUTHERN EUROPE,PRT
82658,AZERBAIJAN,ASIA,WESTERN ASIA,AZE
410340,SWEDEN,EUROPA,NORTHERN EUROPE,SWE
111890,HONDURAS,AMERICA LATINA,CENTRAL AMERICA,HND
83600,UNITED ARAB EMIRATES,ASIA,WESTERN ASIA,ARE
90530,HUNGARY,EUROPA,EASTERN EUROPE,HUN
139960,TAJIKISTAN,ASIA,CENTRAL ASIA,TJK
202910,BELARUS,EUROPA,EASTERN EUROPE,BLR
82409,AUSTRIA,EUROPA,WESTERN EUROPE,AUT
452860,PAPUA NEW GUINEA,OCEANIA,MELANESIA,PNG
87460,SERBIA,EUROPA,SOUTHERN EUROPE,SRB
21640,ISRAEL,ASIA,WESTERN ASIA,ISR
39516,SWITZERLAND,EUROPA,WESTERN EUROPE,CHE
54390,TOGO,AFRICA,WESTERN AFRICA,TGO
72180,SIERRA LEONE,AFRICA,WESTERN AFRICA,SLE
230800,LAOS,ASIA,SOUTH-EASTERN ASIA,LAO
397300,PARAGUAY,AMERICA LATINA,SOUTH AMERICA,PRY
108560,BULGARIA,EUROPA,EASTERN EUROPE,BGR
1759540,LIBYA,AFRICA,NORTHERN AFRICA,LBY
10230,LEBANON,ASIA,WESTERN ASIA,LBN
120340,NICARAGUA,AMERICA LATINA,CENTRAL AMERICA,NIC
191800,KYRGYZSTAN,ASIA,CENTRAL ASIA,KGZ
20720,EL SALVADOR,AMERICA LATINA,CENTRAL AMERICA,SLV
469930,TURKMENISTAN,ASIA,CENTRAL ASIA,TKM
700,SINGAPORE,ASIA,SOUTH-EASTERN ASIA,SGP
42430,DENMARK,EUROPA,NORTHERN EUROPE,DNK
303890,FINLAND,EUROPA,NORTHERN EUROPE,FIN
341500,CONGO,AFRICA,MIDDLE AFRICA,COG
48088,SLOVAKIA,EUROPA,EASTERN EUROPE,SVK
365268,NORWAY,EUROPA,NORTHERN EUROPE,NOR
309500,OMAN,ASIA,WESTERN ASIA,OMN
6020,STATE OF PALESTINE,ASIA,WESTERN ASIA,PSE
51060,COSTA RICA,AMERICA LATINA,CENTRAL AMERICA,CRI
96320,LIBERIA,AFRICA,WESTERN AFRICA,LBR
68890,IRELAND,EUROPA,NORTHERN EUROPE,IRL
622980,CENTRAL AFRICAN REPUBLIC,AFRICA,MIDDLE AFRICA,CAF
263310,NEW ZEALAND,OCEANIA,AUSTRALIA AND NEW ZEALAND,NZL
1030700,MAURITANIA,AFRICA,WESTERN AFRICA,MRT
74340,PANAMA,AMERICA LATINA,CENTRAL AMERICA,PAN
17820,KUWAIT,ASIA,WESTERN ASIA,KWT
55960,CROATIA,EUROPA,SOUTHERN EUROPE,HRV
32850,MOLDOVA,EUROPA,EASTERN EUROPE,MDA
69490,GEORGIA,ASIA,WESTERN ASIA,GEO
101000,ERITREA,AFRICA,EASTERN AFRICA,ERI
175020,URUGUAY,AMERICA LATINA,SOUTH AMERICA,URY
51000,BOSNIA AND HERZEGOVINA,EUROPA,SOUTHERN EUROPE,BIH
1553560,MONGOLIA,ASIA,EASTERN ASIA,MNG
28470,ARMENIA,ASIA,WESTERN ASIA,ARM
10830,JAMAICA,AMERICA LATINA,CARIBBEAN,JAM
11610,QATAR,ASIA,WESTERN ASIA,QAT
27400,ALBANIA,EUROPA,SOUTHERN EUROPE,ALB
62674,LITHUANIA,EUROPA,NORTHERN EUROPE,LTU
823290,NAMIBIA,AFRICA,SOUTHERN AFRICA,NAM
10120,GAMBIA,AFRICA,WESTERN AFRICA,GMB
566730,BOTSWANA,AFRICA,SOUTHERN AFRICA,BWA
257670,GABON,AFRICA,MIDDLE AFRICA,GAB
30360,LESOTHO,AFRICA,SOUTHERN AFRICA,LSO
25220,NORTH MACEDONIA,EUROPA,SOUTHERN EUROPE,MKD
20140,SLOVENIA,EUROPA,SOUTHERN EUROPE,SVN
28120,GUINEA-BISSAU,AFRICA,WESTERN AFRICA,GNB
62200,LATVIA,EUROPA,NORTHERN EUROPE,LVA
760,BAHRAIN,ASIA,WESTERN ASIA,BHR
28050,EQUATORIAL GUINEA,AFRICA,MIDDLE AFRICA,GNQ
5130,TRINIDAD AND TOBAGO,AMERICA LATINA,CARIBBEAN,TTO
42390,ESTONIA,EUROPA,NORTHERN EUROPE,EST
14870,TIMOR-LESTE,ASIA,SOUTH-EASTERN ASIA,TLS
2030,MAURITIUS,AFRICA,EASTERN AFRICA,MUS
9240,CYPRUS,ASIA,WESTERN ASIA,CYP
17200,ESWATINI,AFRICA,SOUTHERN AFRICA,SWZ
23180,DJIBOUTI,AFRICA,EASTERN AFRICA,DJI
18270,FIJI,OCEANIA,MELANESIA,FJI
1861,COMOROS,AFRICA,EASTERN AFRICA,COM
196850,GUYANA,AMERICA LATINA,SOUTH AMERICA,GUY
38117,BHUTAN,ASIA,SOUTHERN ASIA,BTN
27990,SOLOMON ISLANDS,OCEANIA,MELANESIA,SLB
13450,MONTENEGRO,EUROPA,SOUTHERN EUROPE,MNE
2590,LUXEMBOURG,EUROPA,WESTERN EUROPE,LUX
156000,SURINAME,AMERICA LATINA,SOUTH AMERICA,SUR
4030,CABO VERDE,AFRICA,WESTERN AFRICA,CPV
700,MICRONESIA,OCEANIA,MICRONESIA,FSM
300,MALDIVES,ASIA,SOUTHERN ASIA,MDV
320,MALTA,EUROPA,SOUTHERN EUROPE,MLT
5270,BRUNEI ,ASIA,SOUTH-EASTERN ASIA,BRN
22810,BELIZE,AMERICA LATINA,CENTRAL AMERICA,BLZ
10010,BAHAMAS,AMERICA LATINA,CARIBBEAN,BHS
100250,ICELAND,EUROPA,NORTHERN EUROPE,ISL
12190,VANUATU,OCEANIA,MELANESIA,VUT
430,BARBADOS,AMERICA LATINA,CARIBBEAN,BRB
960,SAO TOME & PRINCIPE,AFRICA,MIDDLE AFRICA,STP
2830,SAMOA,OCEANIA,POLYNESIA,WSM
610,SAINT LUCIA,AMERICA LATINA,CARIBBEAN,LCA
810,KIRIBATI,OCEANIA,MICRONESIA,KIR
340,GRENADA,AMERICA LATINA,CARIBBEAN,GRD
390,ST. VINCENT & GRENADINES,AMERICA LATINA,CARIBBEAN,VCT
720,TONGA,OCEANIA,POLYNESIA,TON
460,SEYCHELLES,AFRICA,EASTERN AFRICA,SYC
440,ANTIGUA AND BARBUDA,AMERICA LATINA,CARIBBEAN,ATG
470,ANDORRA,EUROPA,SOUTHERN EUROPE,AND
750,DOMINICA,AMERICA LATINA,CARIBBEAN,DMA
180,MARSHALL ISLANDS,OCEANIA,MICRONESIA,MHL
260,SAINT KITTS & NEVIS,AMERICA LATINA,CARIBBEAN,KNA
1,MONACO,EUROPA,WESTERN EUROPE,MCO
160,LIECHTENSTEIN,EUROPA,WESTERN EUROPE,LIE
60,SAN MARINO,EUROPA,SOUTHERN EUROPE,SMR
460,PALAU,OCEANIA,MICRONESIA,PLW
30,TUVALU,OCEANIA,POLYNESIA,TUV
20,NAURU,OCEANIA,MICRONESIA,NRU
0,HOLY SEE,EUROPA,SOUTHERN EUROPE,VAT
