Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,191148056,2452.3326225296923,3569148,45.79035883596226,449764,4109303,52.72027355987932,58926,0.7559906971545912,10679,
United States of America,Americas,33828878,10220.12,256163,77.39,34678,604252,182.55,1843,0.56,211,Community transmission
India,South-East Asia,31216337,2262.05,270263,19.58,42015,418480,30.32,7072,0.51,3998,Clusters of cases
Brazil,Americas,19391845,9123.02,284874,134.02,15271,542756,255.34,8523,4.01,542,Community transmission
Russian Federation,Europe,6030240,4132.16,173238,118.71,23704,150705,103.27,5427,3.72,783,Clusters of cases
France,Europe,5770302,8872.02,64918,99.81,16723,110534,169.95,94,0.14,21,Community transmission
Turkey,Europe,5546166,6576.03,52922,62.75,8780,50650,60.06,326,0.39,46,Community transmission
The United Kingdom,Europe,5519606,8130.7,328143,483.37,46125,128823,189.76,342,0.5,96,Community transmission
Argentina,Americas,4769142,10552.19,106205,234.99,12764,101955,225.59,2700,5.97,406,Community transmission
Colombia,Americas,4655921,9150.27,125311,246.27,16455,116753,229.45,3418,6.72,446,Community transmission
Italy,Europe,4293083,7198.15,19390,32.51,3555,127884,214.42,76,0.13,10,Clusters of cases
Spain,Europe,4189136,8850.42,152883,323,15972,81148,171.44,66,0.14,3,Community transmission
Germany,Europe,3748613,4507.35,9930,11.94,2203,91416,109.92,129,0.16,19,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3548704,4225,154425,183.85,25441,87374,104.03,1333,1.59,213,Community transmission
Indonesia,South-East Asia,2983830,1090.89,313784,114.72,33772,77583,28.36,8373,3.06,1383,Community transmission
Poland,Europe,2881718,7591.83,672,1.77,124,75222,198.17,43,0.11,3,Community transmission
Mexico,Americas,2664444,2066.54,70870,54.97,5307,236469,183.4,1411,1.09,138,Community transmission
South Africa,Africa,2311232,3896.95,91916,154.98,8928,67676,114.11,2534,4.27,596,Community transmission
Ukraine,Europe,2245930,5135.46,3685,8.43,655,52769,120.66,104,0.24,13,Community transmission
Peru,Americas,2094445,6352.22,12888,39.09,691,195243,592.15,755,2.29,97,Community transmission
Netherlands,Europe,1814143,10421.57,69731,400.58,6823,17783,102.16,14,0.08,5,Community transmission
Czechia,Europe,1671685,15632.08,1612,15.07,313,30342,283.73,7,0.07,1,Community transmission
Chile,Americas,1601858,8379.58,10971,57.39,975,34569,180.84,553,2.89,30,Community transmission
Philippines,Western Pacific,1517903,1385.19,36252,33.08,4516,26844,24.5,752,0.69,58,Community transmission
Iraq,Eastern Mediterranean,1501595,3733.22,63084,156.84,9883,17892,44.48,300,0.75,62,Community transmission
Canada,Americas,1423889,3772.68,2781,7.37,712,26504,70.22,66,0.17,5,Community transmission
Bangladesh,South-East Asia,1136503,690.09,76965,46.73,7614,18498,11.23,1446,0.88,173,Community transmission
Belgium,Europe,1108675,9621.88,7247,62.89,1,25213,218.82,6,0.05,0,Community transmission
Sweden,Europe,1095279,10605.37,2075,20.09,655,14650,141.85,0,0,0,Community transmission
Romania,Europe,1081875,5597.21,470,2.43,102,34260,177.25,12,0.06,2,Community transmission
Pakistan,Eastern Mediterranean,991727,448.96,16635,7.53,2452,22811,10.33,214,0.1,30,Community transmission
Malaysia,Western Pacific,939899,2903.97,83950,259.38,12366,7241,22.37,856,2.64,93,Community transmission
Portugal,Europe,935246,9083.67,22840,221.84,2706,17219,167.24,46,0.45,4,Clusters of cases
Israel,Europe,854981,9877.85,6412,74.08,370,6452,74.54,7,0.08,0,Community transmission
Japan,Western Pacific,847614,670.18,23025,18.2,3600,15079,11.92,108,0.09,19,Clusters of cases
Hungary,Europe,808945,8280.29,333,3.41,56,30019,307.27,6,0.06,0,Community transmission
Jordan,Eastern Mediterranean,761225,7460.7,3535,34.65,0,9896,96.99,53,0.52,0,Community transmission
Serbia,Europe,719006,10380.2,1194,17.24,189,7088,102.33,12,0.17,4,Community transmission
Switzerland,Europe,707076,8169.93,3229,37.31,3,10322,119.27,0,0,0,Community transmission
Nepal,South-East Asia,672871,2309.35,12083,41.47,1918,9637,33.08,207,0.71,30,Community transmission
United Arab Emirates,Eastern Mediterranean,662486,6698.27,10724,108.43,1508,1900,19.21,30,0.3,2,Community transmission
Austria,Europe,649913,7301.52,2252,25.3,306,10521,118.2,6,0.07,0,Community transmission
Morocco,Eastern Mediterranean,557632,1510.77,14513,39.32,0,9450,25.6,66,0.18,0,Community transmission
Lebanon,Eastern Mediterranean,550942,8071.88,2981,43.67,0,7885,115.52,8,0.12,0,Community transmission
