URBANIZACAO,PAIS,GINI,GASTOS_SAUDE,EXPECTATIVA_VIDA,DENSIDADE_MEDICOS,DENSIDADE_LEITOS_POR_MIL,PIB
0.263,AFGHANISTAN,29.4,0.094,53.25,0.28,0.4,78557000000
0.63,ALBANIA,33.2,0.053,79.23,1.22,2.9,39859000000
0.743,ALGERIA,27.6,0.062,77.79,1.72,1.9,495564000000
0.872,AMERICAN SAMOA,,,75.06,,,658000000
0.879,ANDORRA,,0.067,83.23,3.33,2.5,3327000000
0.675,ANGOLA,51.3,0.026000000000000002,61.71,0.22,,212285000000
1.0,ANGUILLA,,,82.0,,,175400000
0.244,ANTIGUA AND BARBUDA,,0.052000000000000005,77.55,2.96,2.9,2127000000
0.922,ARGENTINA,41.4,0.096,78.07,3.99,5.0,991523000000
0.634,ARMENIA,34.4,0.1,75.86,4.4,4.2,40384000000
0.439,ARUBA,,,77.76,,,4158000000
0.8640000000000001,AUSTRALIA,34.4,0.09300000000000001,82.89,3.68,3.8,1264514000000
0.59,AUSTRIA,29.7,0.10300000000000001,82.07,5.17,7.4,498780000000
0.568,AZERBAIJAN,33.7,0.035,73.88,3.45,4.8,144374000000
0.8340000000000001,"BAHAMAS, THE",,0.063,75.87,2.01,3.0,14450000000
0.8959999999999999,BAHRAIN,,0.040999999999999995,79.67,0.93,1.7,73870000000
0.389,BANGLADESH,32.4,0.023,74.43,0.58,0.8,775076000000
0.312,BARBADOS,,0.066,78.31,2.48,6.0,4488000000
0.799,BELARUS,25.2,0.055999999999999994,74.01,5.19,10.8,181286000000
0.981,BELGIUM,27.4,0.10300000000000001,81.65,3.07,5.7,596414000000
0.462,BELIZE,,0.057,75.56,1.12,1.0,2734000000
0.49,BENIN,47.8,0.025,61.82,0.08,0.5,38794000000
1.0,BERMUDA,,,81.83,,,5228000000
0.43,BHUTAN,37.4,0.031,71.5,0.42,1.7,9029000000
0.705,BOLIVIA,42.2,0.063,70.7,1.59,1.3,100445000000
0.494,BOSNIA AND HERZEGOVINA,33.0,0.08900000000000001,77.74,2.16,3.5,49224000000
0.716,BOTSWANA,53.3,0.059000000000000004,65.24,0.53,1.8,40928000000
0.873,BRAZIL,53.9,0.095,74.98,2.16,2.1,3092216000000
