,0-19,20-44,45-59,60-79,80-100+,TOTAL_POPULATION,GINI_INDEX,TOTAL_CASES,TOTAL_CASES_100K,TOTAL_DEATHS,TOTAL_DEATHS_100K,TOTAL_CASES_1M,TOTAL_DEATHS_1M,HDI,COUNTRY_CODE,DIABETES_PREVALENCE,LAST_GPD_USD,PHYSICIANS_DENSITY_PER_1K_POP,OBESITY_PREVALENCE_RATE,URBAN_POPULATION_2021,RATE_URBANIATION_EST_20_25,REGION
AFGHANISTAN,20676.365,12753.446,3027.333,1479.526,105.087,38041.757,29.4,152243,391.09,7031,18.06,4001997.06864223,184823.219390209,0.496,AFG,9.2,549,0.28,5.5,26.3,3.34,South Asia
ALBANIA,709.227,1014.814,566.93,507.967,81.975,2880.913,33.2,136147,4730.94,2466,85.69,47258282.3570167,855978.642881614,0.791,ALB,9,5064,1.22,21.7,1.29,63,Europe
ALGERIA,15999.221,16852.349,6033.228,3610.706,557.55,43053.054,27.4,187968,428.65,4830,11.01,4365962.05230876,112187.163307857,0.759,DZA,6.7,4363,1.72,27.4,1.99,74.3,Africa
ANGOLA,18229.846,9990.456,2451.558,1067.913,85.526,31825.299,51.3,44731,136.1,1103,3.36,1405517.03850449,34657.9618937751,0.574,AGO,4.5,2891,0.22,8.2,4.04,67.5,Africa
ANTIGUA AND BARBUDA,28.495,35.864,19.536,11.57,1.65,97.115,,1397,1426.54,43,43.91,14385007.4653761,442774.030788241,0.776,ATG,13.1,12870,2.96,18.9,24.4,0.87,Central America
ARGENTINA,14541.388,16418.967,6926.692,5712.62,1181.008,44780.675,41.4,5084635,11250.24,109041,241.26,113545296.045671,2435001.25891358,0.83,ARG,5.9,8693,3.99,28.3,0.97,92.2,South America
ARMENIA,782.905,1108.936,536.117,435.133,94.637,2957.728,34.4,235171,7936.3,4713,159.05,79510691.990609,1593452.812429,0.76,ARM,6.1,4364,4.4,20.2,63.4,0.23,Middle East
ARUBA,26.015,32.84,25.065,19.857,2.533,106.31,,13350,12503.98,119,111.46,125576145.235632,1119367.88637005,0.908,ABW,11.6,37576,,,0.77,43.9,Central America
AUSTRALIA,6359.616,8680.071,4760.047,4373.676,1029.79,25203.2,34.4,39615,155.35,965,3.78,1571824.21279837,38288.7887252412,0.938,AUS,5.6,56307,3.68,29,86.4,1.27,Australia - Oceania
AUSTRIA,1740.122,2912.132,2035.327,1790.279,477.248,8955.108,29.7,664998,7470.99,10558,118.62,74259070.9123776,1178991.92282215,0.914,AUT,6.6,47009,5.17,20.1,0.68,59,Europe
AZERBAIJAN,2998.416,4037.172,1899.504,975.741,136.886,10047.719,33.7,369853,3647.76,5170,50.99,36809648.0405155,514544.644411334,0.754,AZE,6.1,5593,3.45,19.9,1.38,56.8,Middle East
