PAIS,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
AFGHANISTAN,5672736,4897366,4314247,3878103,3910611,3178442,2486682,1855834,1586014,1343212,1070378,838803,630704,445808,286601,157984,66960,19523,3456,334,17
ALBANIA,196416,181246,163448,211389,261860,286894,272988,219667,173551,169530,169777,188690,178512,137018,95854,82111,52677,23381,7618,1766,186
ALGERIA,4411359,4453376,3846205,3036987,2949353,3560644,3578817,3519511,3086863,2521873,2169847,1794179,1390423,1005956,689153,425679,286939,167387,61639,14318,2370
AMERICAN SAMOA,4479,4573,4673,4938,4041,4328,3025,2619,2717,2810,3035,2702,2086,1396,926,523,328,156,62,17,3
ANDORRA,3181,3844,4427,4587,4114,3929,3851,5442,7427,8322,8017,7521,6106,4717,3801,2690,1679,1130,630,201,19
ANGOLA,6064889,5193191,4298425,3391807,2668933,2246699,1913738,1605183,1338694,1082355,855412,652888,461878,304119,204489,138964,70944,24129,5005,565,32
ANGUILLA,1310,1317,1286,1281,1234,1164,1272,1218,1256,1360,1376,1273,974,642,462,305,186,103,47,18,6
ANTIGUA AND BARBUDA,7485,7363,7266,7645,8207,7385,6925,6769,6642,6494,6709,5867,4674,3382,2373,1444,830,464,192,54,9
ARGENTINA,3651814,3703234,3568863,3515740,3390602,3352209,3287777,3216071,3170627,2683023,2298982,2137555,1985680,1760444,1408367,1030300,700481,402696,167972,41426,5255
ARMENIA,186111,195209,181969,167233,184222,235037,273754,247281,196869,174643,172938,216947,208387,145640,86894,50651,62633,24773,9077,985,71
ARUBA,7121,7000,6840,6736,7670,7882,8025,8688,7858,7916,8047,9491,8177,6640,4787,3199,2012,970,304,56,9
AUSTRALIA,1573566,1613045,1580513,1532917,1750130,1909110,1852540,1788398,1670366,1708282,1551185,1499262,1392388,1231459,1080789,734347,493015,293653,154288,48951,8255
AUSTRIA,420152,413284,407432,427896,490273,583286,590623,600224,556109,617136,715995,699421,577310,462401,411627,366920,262735,146758,76790,28538,4539
